"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify registered user is able to login successfully","750","test_user_can_login","tests","Mon Sep 01 19:12:08 IST 2025","passed","Mon Sep 01 19:12:09 IST 2025","","test_signup_login","",""
"Verify user is able to sign up successfully","2268","test_user_can_Register","tests","Mon Sep 01 19:12:06 IST 2025","passed","Mon Sep 01 19:12:08 IST 2025","","test_signup_login","",""
